timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-21,224.99,227.45,222.8302,224.26,222.767554793975,3982203,0.0000,1.0
2025-01-17,225.955,225.955,223.64,224.79,223.294027656013,5506837,0.0000,1.0
2025-01-16,219.69,222.68,217.38,222.66,221.178202757631,3329060,0.0000,1.0
2025-01-15,220.87,221.6761,218.01,220.03,218.565705347892,2951825,0.0000,1.0
2025-01-14,218.0,218.125,214.61,217.75,216.300878696103,3485829,0.0000,1.0
2025-01-13,217.89,219.59,214.75,217.4,215.953207938153,3716816,0.0000,1.0
2025-01-10,222.0,222.43,216.8,219.75,218.287568741532,3570497,0.0000,1.0
2025-01-08,223.91,224.9,220.83,223.18,221.694742169443,2619768,0.0000,1.0
2025-01-07,223.35,226.711,222.83,223.96,222.46955128716,3299701,0.0000,1.0
2025-01-06,223.0,224.35,220.75,222.67,221.188136207858,2847128,0.0000,1.0
2025-01-03,220.55,223.66,220.55,222.65,221.168269307404,3873578,0.0000,1.0
2025-01-02,221.82,222.49,217.6,219.94,218.476304295848,2579498,0.0000,1.0
2024-12-31,220.72,221.0493,218.44,219.83,218.367036343349,2270512,0.0000,1.0
2024-12-30,220.54,221.5942,217.6523,220.25,218.784241252889,2095565,0.0000,1.0
2024-12-27,223.14,224.42,221.4054,222.78,221.297404160357,1810760,0.0000,1.0
2024-12-26,223.31,225.4,222.55,224.89,223.393362158285,3287238,0.0000,1.0
2024-12-24,222.27,224.4446,221.5428,224.41,222.916556547382,1186216,0.0000,1.0
2024-12-23,222.81,223.74,221.08,221.93,220.45306089105,2988137,0.0000,1.0
2024-12-20,222.73,227.6847,221.68,223.36,221.873544273532,12423200,0.0000,1.0
2024-12-19,224.42,226.2,222.98,223.92,222.429817486252,4430120,0.0000,1.0
2024-12-18,229.035,229.035,220.03,220.17,218.704773651072,4152517,0.0000,1.0
2024-12-17,229.23,230.2,227.62,228.97,227.44620985096,3651346,0.0000,1.0
2024-12-16,230.73,231.03,226.88,229.33,227.803814059138,3610257,0.0000,1.0
2024-12-13,232.25,233.775,230.26,230.82,229.283898142982,2757683,0.0000,1.0
2024-12-12,230.66,233.89,230.38,232.26,230.714314975691,4515741,0.0000,1.0
2024-12-11,232.69,233.0,229.13,230.12,228.588556627082,3872680,0.0000,1.0
2024-12-10,228.4,234.39,227.8,231.72,230.177908663426,4769531,0.0000,1.0
2024-12-09,238.0,239.35,228.91,230.0,228.469355224356,4970449,0.0000,1.0
2024-12-06,234.43,238.38,234.22,238.04,236.455849206982,4028430,0.0000,1.0
